Common Name,Scientific Name,Description,Light Requirement,Water Requirement,Space,Maintenance Level,Shape and Form,Blooms or Foliage,Special Features,Foliage Color and Texture
Chinese Evergreen,Aglaonema spp.,"Chinese Evergreen is a popular indoor plant known for its attractive, variegated foliage. It is low-maintenance and can tolerate a wide range of light conditions.",Low-Light to Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,,
Dumb Cane,Dieffenbachia spp.,"Dumb Cane is a group of tropical plants known for their large, colorful, and patterned leaves. They prefer medium to bright light and consistent moisture.",Medium-Light to High-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,
Rubber Plant,Ficus elastica,"Rubber Plant is a popular indoor plant with large, glossy, dark green leaves. It prefers bright, indirect light and moderate watering.",Medium-Light to High-Light,Moisture-Loving,Large-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,
Calathea,Calathea spp.,"Calathea is a group of plants known for their striking, patterned foliage. They prefer medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,
Prayer Plant,Maranta leuconeura,"Prayer Plant is known for its colorful, patterned leaves that fold up at night, resembling hands in prayer. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,
Philodendron,Philodendron spp.,Philodendron is a diverse group of plants with heart-shaped leaves that can be either trailing or upright. They are generally low-maintenance and can tolerate a variety of light conditions.,Low-Light to High-Light,Moisture-Loving,Small-Space to Medium-Space Plants (depending on species),Low-Maintenance,Climbing and Trailing Plants or Upright Plants (depending on species),Non-Flowering Plant,,
Staghorn Fern,Platycerium spp.,"Staghorn Fern is an epiphytic plant known for its unique, antler-like fronds. It prefers medium to bright indirect light and regular misting to maintain humidity.",Medium-Light to High-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,
Bromeliads,Bromeliaceae spp.,"Bromeliads are a diverse group of plants known for their unique, colorful foliage and flowers. They are generally low-maintenance and can tolerate a range of light conditions.",Low-Light to High-Light,Moisture-Loving,Small-Space to Medium-Space Plants (depending on species),Low-Maintenance,Upright Plant or Bushy and Spreading Plant (depending on species),Flowering Plant,,
Croton,Codiaeum variegatum,"Croton is an indoor plant known for its bold, colorful foliage with various patterns and shades. It prefers bright, indirect light and consistent moisture.",High-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,Colorful Foliage
Fittonia,Fittonia spp.,"Fittonia, also known as Nerve Plant, is a small, compact plant with intricately veined, colorful leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,Colorful Foliage
Air Plants,Tillandsia spp.,"Air Plants are a group of unique, epiphytic plants that do not require soil to grow. They absorb water and nutrients from the air through their leaves. They prefer bright, indirect light and regular misting.",Medium-Light to High-Light,Moisture-Loving (through air),Small-Space Plant,Low-Maintenance,Upright Plant,Flowering Plant,,
Calathea ‘Fusion White’,Calathea hybrid,Calathea ‘Fusion White’ is a stunning hybrid with striking white and green variegated leaves. It prefers medium to bright indirect light and consistent moisture.,Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,Variegated Foliage
Calathea ‘Medallion’,Calathea roseopicta,"Calathea ‘Medallion’ is known for its large, round leaves with a striking pattern and deep purple undersides. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,Colorful Foliage
Calathea ‘Peacock’,Calathea makoyana,"Calathea ‘Peacock’ features large, oval leaves with an intricate, peacock feather-like pattern. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,Colorful Foliage
Calathea ‘Rattlesnake’,Calathea lancifolia,"Calathea ‘Rattlesnake’ has elongated, wavy-edged leaves with an eye-catching, dark green pattern and purple undersides. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,Colorful Foliage
Calathea ‘White Fusion’,Calathea loeseneri,Calathea ‘White Fusion’ is a striking hybrid with white and green variegated leaves and a hint of pink. It prefers medium to bright indirect light and consistent moisture.,Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,Variegated Foliage
,,Ctenanthe lubbersiana is a tropical plant known for its striking patterned leaves with broad bands of yellow and green. It prefers medium to bright indirect light and consistent moisture.,Medium-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,Colorful Foliage
,,"Ctenanthe setosa features long, narrow leaves with a striking silvery-green pattern on the top and deep purple undersides. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,Colorful Foliage
,,"Ctenanthe burle-marxii, also known as the Fishbone Prayer Plant, has unique, fishbone-patterned leaves with a green top and deep purple underside. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,Colorful Foliage
Janet Craig Dracaena,Dracaena deremensis ‘Janet Craig’,"Janet Craig Dracaena is a popular indoor plant known for its large, glossy, dark green leaves. It is low-maintenance and can tolerate low-light conditions.",Low-Light to Medium-Light,Drought-Tolerant,Large-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,,
Lady Palm,Rhapis excelsa,"Lady Palm is an elegant, slow-growing indoor palm with fan-shaped, dark green leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Large-Space Plant,Moderate-Maintenance,Upright Plant,Non-Flowering Plant,,
Maranta,Maranta leuconeura,"Maranta, also known as the Red Prayer Plant, features oval leaves with striking red veins and a red midrib. The leaves fold up at night, resembling hands in prayer. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,Colorful Foliage
Nerve Plant,Fittonia spp.,"Nerve Plant, also known as Fittonia, is a small, compact plant with intricately veined, colorful leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,Colorful Foliage
Snake Plant,Sansevieria spp.,"Snake Plant, also known as Mother-in-Law’s Tongue, is a popular indoor plant known for its upright, sword-like leaves with variegated patterns. It is low-maintenance and can tolerate low-light conditions.",Low-Light to High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,Air-Purifying Plant,
Warneckii Dracaena,Dracaena deremensis ‘Warneckii’,"Warneckii Dracaena is a popular indoor plant with long, slender leaves featuring white or yellow stripes. It prefers medium to bright indirect light and is low-maintenance.",Medium-Light,Drought-Tolerant,Medium-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,,
Maidenhair Fern,Adiantum spp.,"Maidenhair Fern is a delicate indoor plant with fine, feathery fronds and dark, wiry stems. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,High-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,
Maranta,Maranta spp.,"Maranta, also known as the Prayer Plant, has oval leaves with striking patterns and colors. The leaves fold up at night, resembling hands in prayer. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,Colorful Foliage
Arrowhead Plant,Syngonium podophyllum,Arrowhead Plant is an indoor plant with arrowhead-shaped leaves that change shape as the plant matures. It prefers medium to bright indirect light and consistent moisture.,Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,
Curly Spider Plant,Chlorophytum comosum ‘Bonnie’,"Curly Spider Plant is a popular indoor plant with arching, curly leaves and baby plantlets that dangle from the mother plant. It is low-maintenance and can tolerate a range of light conditions.",Low-Light to High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,Air-Purifying Plant,
Silver Philodendron,Scindapsus pictus,"Silver Philodendron, also known as Satin Pothos, features heart-shaped leaves with a silvery sheen. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,Variegated Foliage
Philodendron ‘Brasil’,Philodendron hederaceum ‘Brasil’,Philodendron ‘Brasil’ is a popular indoor plant known for its heart-shaped leaves with a vibrant green and yellow pattern. It prefers medium to bright indirect light and consistent moisture.,Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,Variegated Foliage
Pothos,Epipremnum aureum,"Pothos, also known as Devil’s Ivy, is a popular indoor plant with heart-shaped leaves and a trailing growth habit. It is low-maintenance and can tolerate a range of light conditions.",Low-Light to High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,Air-Purifying Plant,
Spider Plant,Chlorophytum comosum,"Spider Plant is a popular indoor plant with arching, grass-like leaves and baby plantlets that dangle from the mother plant. It is low-maintenance and can tolerate a range of light conditions.",Low-Light to High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,Air-Purifying Plant,
Boston Fern,Nephrolepis exaltata,"Boston Fern is a popular indoor plant known for its lush, feathery fronds. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,
English Ivy,Hedera helix,English Ivy is a versatile indoor plant with trailing vines and lobed leaves. It prefers medium to bright indirect light and consistent moisture.,Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,Air-Purifying Plant,
Heartleaf Philodendron,Philodendron hederaceum,Heartleaf Philodendron is a popular indoor plant known for its heart-shaped leaves and trailing growth habit. It prefers medium to bright indirect light and consistent moisture.,Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,
Agave,Agave spp.,Agave is a genus of succulents known for their rosette-shaped leaves with sharp tips. They prefer bright light and are drought-tolerant.,High-Light,Drought-Tolerant,Small-Space to Large-Space Plant (depending on species),Low-Maintenance,Upright Plant,Non-Flowering Plant,,
Aloe Vera,Aloe barbadensis miller,"Aloe Vera is a popular succulent known for its medicinal properties and thick, fleshy leaves. It prefers bright light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,Medicinal Plant,
Echeveria,Echeveria spp.,Echeveria is a genus of succulents known for their attractive rosette-shaped leaves in various colors. They prefer bright light and are drought-tolerant.,High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,,Colorful Foliage
Jade Plant,Crassula ovata,"Jade Plant is a popular succulent with thick, fleshy leaves and a bushy growth habit. It prefers bright light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,
Hens and Chicks,Sempervivum tectorum,"Hens and Chicks is a low-growing succulent known for its rosette-shaped leaves that form offsets, or “chicks.” It prefers bright light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,
Lithops,Lithops spp.,"Lithops, also known as “Living Stones,” are small, slow-growing succulents that resemble rocks. They prefer bright light and are drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,,
Haworthia,Haworthia spp.,"Haworthia is a genus of small, slow-growing succulents known for their rosette-shaped leaves with distinctive markings. They prefer bright, indirect light and are drought-tolerant.",Medium-High Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,,Unique Textures
Moonstones,Pachyphytum oviferum,"Moonstones is a succulent with thick, rounded leaves that resemble pebbles. It prefers bright light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,,Unique Textures
Zebra Plant,Haworthia fasciata,"Zebra Plant is a small succulent known for its dark green leaves with white horizontal stripes. It prefers bright, indirect light and is drought-tolerant.",Medium-High Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Upright Plant,Non-Flowering Plant,,Unique Textures
Pincushion Cactus,Mammillaria spp.,"Pincushion Cactus is a genus of small, round cacti known for their dense, needle-like spines. They prefer bright light and are drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Upright Plant,Flowering Plant,,
Christmas Cactus,Schlumbergera spp.,"Christmas Cactus is a popular holiday plant known for its segmented stems and bright, tubular flowers. It prefers bright, indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Trailing Plant,Flowering Plant,Flowering Plant,
String of Pearls,Senecio rowleyanus,"String of Pearls is a unique succulent with trailing stems covered in round, bead-like leaves. It prefers bright, indirect light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,
Burro’s Tail,Sedum morganianum,"Burro’s Tail is a trailing succulent known for its cascading stems covered in plump, overlapping leaves. It prefers bright, indirect light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,
String of Bananas,Senecio radicans,"String of Bananas is a trailing succulent with long stems covered in banana-shaped leaves. It prefers bright, indirect light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,
String of Hearts,Ceropegia woodii,"String of Hearts is a trailing succulent with heart-shaped leaves on slender vines. It prefers bright, indirect light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,
String of Nickels,Dischidia nummularia,"String of Nickels is an epiphytic plant with round, flat leaves on trailing stems. It prefers bright, indirect light and consistent moisture.",Medium-High Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,
String of Turtles,Peperomia prostrata,"String of Turtles is a trailing plant with small, round leaves featuring intricate patterns. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,Unique Textures
String of Dolphins,Senecio peregrinus,"String of Dolphins is a trailing succulent with dolphin-shaped leaves on cascading stems. It prefers bright, indirect light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Climbing and Trailing Plant,Non-Flowering Plant,,
Ferns,various species,"Ferns are a diverse group of plants known for their delicate, feathery fronds. They prefer medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small to Large-Space Plants (depending on species),Moderate-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,
Peperomia,Peperomia spp.,"Peperomia is a diverse genus of small, compact plants with attractive, fleshy leaves. They prefer medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Bushy and Spreading Plant,Non-Flowering Plant,,Variegated and/or Colorful Foliage
African Violet,Saintpaulia spp.,"African Violets are popular flowering houseplants known for their velvety, round leaves and colorful blooms. They prefer medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Bird of Paradise,Strelitzia spp.,"Bird of Paradise plants are known for their large, exotic flowers and long, glossy leaves. They prefer bright, indirect light and consistent moisture.",High-Light,Moisture-Loving,Large-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Flowering Plant,
Cyclamen,Cyclamen spp.,"Cyclamen are flowering plants with heart-shaped leaves and unique, upright flowers. They prefer medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Gloxinia,Sinningia speciosa,"Gloxinia plants are known for their large, velvety leaves and bell-shaped flowers. They prefer medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Begonia,Begonia spp.,"Begonias are a diverse group of plants known for their colorful, showy flowers and unique foliage. They prefer medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small to Medium-Space Plant (depending on species),Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,Variegated and/or Colorful Foliage
Guzmania,Guzmania spp.,"Guzmania is a genus of bromeliads known for their vibrant, colorful bracts and unique flower structures. They prefer medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Upright Plant,Flowering Plant,Flowering Plant,
Silver Vase Plant,Aechmea fasciata,"Silver Vase Plant is a type of bromeliad with attractive, silver-green foliage and a unique, pink flower bract. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Low-Maintenance,Upright Plant,Flowering Plant,Flowering Plant,
Amaryllis,Hippeastrum spp.,"Amaryllis is a popular flowering plant known for its large, showy blooms in various colors. It prefers bright, indirect light and consistent moisture.",High-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Flowering Plant,
Camellia,Camellia japonica,"Camellia is a flowering shrub known for its large, showy flowers and glossy, dark green leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Medium to Large-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Cape Primrose,Streptocarpus spp.,"Cape Primrose is a flowering plant known for its colorful, tubular flowers and velvety leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Flamingo Flower,Anthurium spp.,"Flamingo Flower is known for its unique, heart-shaped, colorful spathes and glossy leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Upright Plant,Flowering Plant,Flowering Plant,
Florist’s Chrysanthemum,Chrysanthemum spp.,"Florist’s Chrysanthemum is a popular flowering plant known for its showy, daisy-like flowers in various colors. It prefers bright, indirect light and consistent moisture.",High-Light,Moisture-Loving,Small-Space Plant,Moderate-Maintenance,Bushy and Spreading Plant,Flowering Plant,Flowering Plant,
Gardenia,Gardenia spp.,"Gardenia is a flowering plant known for its highly fragrant, white, waxy flowers and glossy, dark green leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Medium-Space Plant,High-Maintenance,Bushy and Spreading Plant,Flowering Plant,"Fragrant Plant, Flowering Plant",
Jasmine,Jasminum spp.,"Jasmine is a flowering plant known for its delicate, fragrant, white or yellow flowers and climbing growth habit. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Medium-Space Plant,Moderate-Maintenance,Climbing and Trailing Plant,Flowering Plant,"Fragrant Plant, Flowering Plant",
Kaffir Lily,Clivia miniata,"Kaffir Lily is a flowering plant known for its showy, orange or yellow flowers and dark green, strap-like leaves. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small to Medium-Space Plant,Low-Maintenance,Upright Plant,Flowering Plant,Flowering Plant,
Kalanchoe,Kalanchoe blossfeldiana,"Kalanchoe is a succulent flowering plant known for its colorful, long-lasting blooms and fleshy, green leaves. It prefers bright, indirect light and is drought-tolerant.",High-Light,Drought-Tolerant,Small-Space Plant,Low-Maintenance,Upright Plant,Flowering Plant,Flowering Plant,
Pansy Orchid,Miltoniopsis spp.,"Pansy Orchid is a type of orchid known for its large, showy flowers that resemble pansies. It prefers medium to bright indirect light and consistent moisture.",Medium-Light,Moisture-Loving,Small-Space Plant,High-Maintenance,Upright Plant,Flowering Plant,Flowering Plant,
